>VIRSorter_short1-ContigCoA-KX349310_2|9|l
VIRSorter_short1-ContigCoA-KX349310_2-gene_1|1|153|152|-|-|-|-|-|-|-|-
VIRSorter_short1-ContigCoA-KX349310_2-gene_2|252|443|191|-|Phage_cluster_2221|125.1|2.9e-39|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_2-gene_3|430|1323|893|-|Phage_cluster_288|398.1|9.1e-122|1|Phage_gp53|155.2|6e-48
VIRSorter_short1-ContigCoA-KX349310_2-gene_4|1325|2287|962|-|Phage_cluster_600|418.8|5e-128|0|-|-|-
VIRSorter_short1-ContigCoA-KX349310_2-gene_5|2325|2744|419|+|Phage_cluster_18|221.9|1.3e-68|1|Pfam-B_18949|60.8|5.7e-19
VIRSorter_short1-ContigCoA-KX349310_2-gene_6|2746|3510|764|+|Phage_cluster_657|393.4|1.8e-120|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_2-gene_7|3542|4252|710|+|Phage_cluster_193|355.7|4e-109|1|T4_baseplate|201.5|3.7e-62
VIRSorter_short1-ContigCoA-KX349310_2-gene_8|4303|4440|137|+|Phage_cluster_453|86.3|2.7e-27|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_2-gene_9|4433|5000|567|+|Phage_cluster_593|196.7|3.3e-60|1|-|-|-
>VIRSorter_short1-ContigCoA-KX349310_9|5|l
VIRSorter_short1-ContigCoA-KX349310_9-gene_1|1|201|200|+|Phage_cluster_593|90.5|4e-28|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_9-gene_2|201|2954|2753|+|Phage_cluster_466|973.9|5.2e-295|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_9-gene_3|2951|4324|1373|+|Phage_cluster_606|652.2|1.2e-198|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_9-gene_4|4357|4584|227|+|Phage_cluster_387|145.4|2.1e-45|1|CP12|50.1|1.2e-15
VIRSorter_short1-ContigCoA-KX349310_9-gene_5|4641|5000|359|+|Phage_cluster_714|197.6|3.5e-61|1|CpeT|46.8|1.1e-14
>VIRSorter_short1-ContigCoA-KX349310_5|5|l
VIRSorter_short1-ContigCoA-KX349310_5-gene_1|1|510|509|+|Phage_cluster_657|261.0|4.2e-80|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_5-gene_2|542|1252|710|+|Phage_cluster_193|355.7|4e-109|1|T4_baseplate|201.5|3.7e-62
VIRSorter_short1-ContigCoA-KX349310_5-gene_3|1303|1440|137|+|Phage_cluster_453|86.3|2.7e-27|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_5-gene_4|1433|4201|2768|+|Phage_cluster_593|885.4|2.4e-268|1|Pfam-B_6475|249.4|3.5e-76
VIRSorter_short1-ContigCoA-KX349310_5-gene_5|4201|5000|799|+|Phage_cluster_466|353.6|1.5e-107|1|-|-|-
>VIRSorter_short1-ContigCoA-KX349310_12|5|l
VIRSorter_short1-ContigCoA-KX349310_12-gene_1|2|1324|1322|+|Phage_cluster_606|638.3|2e-194|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_12-gene_2|1357|1584|227|+|Phage_cluster_387|145.4|2.1e-45|1|CP12|50.1|1.2e-15
VIRSorter_short1-ContigCoA-KX349310_12-gene_3|1641|2099|458|+|Phage_cluster_714|244.6|1.1e-75|1|CpeT|77.5|4.2e-24
VIRSorter_short1-ContigCoA-KX349310_12-gene_4|2175|2861|686|+|Phage_cluster_548|406.0|1.3e-124|1|Pfam-B_209|55.4|1.9e-17
VIRSorter_short1-ContigCoA-KX349310_12-gene_5|2886|5000|2114|+|Phage_cluster_473|1056.7|0|1|-|-|-
>VIRSorter_short1-ContigCoA-KX349310_10|7|l
VIRSorter_short1-ContigCoA-KX349310_10-gene_1|63|215|152|+|-|-|-|-|-|-|-
VIRSorter_short1-ContigCoA-KX349310_10-gene_2|266|1954|1688|+|Phage_cluster_466|410.3|1.1e-124|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_10-gene_3|1951|3324|1373|+|Phage_cluster_606|652.2|1.2e-198|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_10-gene_4|3357|3584|227|+|Phage_cluster_387|145.4|2.1e-45|1|CP12|50.1|1.2e-15
VIRSorter_short1-ContigCoA-KX349310_10-gene_5|3641|4099|458|+|Phage_cluster_714|244.6|1.1e-75|1|CpeT|77.5|4.2e-24
VIRSorter_short1-ContigCoA-KX349310_10-gene_6|4175|4861|686|+|Phage_cluster_548|406.0|1.3e-124|1|Pfam-B_209|55.4|1.9e-17
VIRSorter_short1-ContigCoA-KX349310_10-gene_7|4886|5000|114|+|Phage_cluster_473|75.6|1.3e-23|1|-|-|-
>VIRSorter_short1-ContigCoA-KX349310_18|8|l
VIRSorter_short1-ContigCoA-KX349310_18-gene_1|1|156|155|+|Phage_cluster_1100|57.5|3e-18|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_18-gene_2|257|805|548|+|Phage_cluster_1830|243.6|4.9e-75|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_18-gene_3|1078|1344|266|+|Phage_cluster_2222|118.4|5.3e-37|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_18-gene_4|1495|1653|158|+|gi_326783416_ref_YP_004323638.1_|107|1.39e-33|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_18-gene_5|1634|1837|203|+|Phage_cluster_1610|131.9|2.2e-41|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_18-gene_6|1830|2126|296|+|Phage_cluster_877|117.3|7.5e-37|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_18-gene_7|2247|3572|1325|+|Phage_cluster_658|749.8|3.5e-228|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_18-gene_8|3578|5000|1422|+|Phage_cluster_659|675.3|1.9e-205|1|-|-|-
>VIRSorter_short1-ContigCoA-KX349310_8|3|l
VIRSorter_short1-ContigCoA-KX349310_8-gene_1|14|1201|1187|+|Phage_cluster_593|392.8|1.8e-119|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_8-gene_2|1201|3954|2753|+|Phage_cluster_466|973.9|5.2e-295|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_8-gene_3|3951|5000|1049|+|Phage_cluster_606|471.2|9.8e-144|1|-|-|-
>VIRSorter_short1-ContigCoA-KX349310_17|11|l
VIRSorter_short1-ContigCoA-KX349310_17-gene_1|1|465|464|+|Phage_cluster_473|114.5|2.2e-35|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_2|521|712|191|+|Phage_cluster_715|119.7|1.2e-37|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_3|709|927|218|+|Phage_cluster_716|128.5|2.3e-40|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_4|917|1156|239|+|Phage_cluster_1100|132.0|1.6e-41|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_5|1257|1805|548|+|Phage_cluster_1830|243.6|4.9e-75|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_6|2078|2344|266|+|Phage_cluster_2222|118.4|5.3e-37|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_7|2495|2653|158|+|gi_326783416_ref_YP_004323638.1_|107|1.39e-33|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_8|2634|2837|203|+|Phage_cluster_1610|131.9|2.2e-41|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_9|2830|3126|296|+|Phage_cluster_877|117.3|7.5e-37|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_10|3247|4572|1325|+|Phage_cluster_658|749.8|3.5e-228|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_17-gene_11|4578|5000|422|+|Phage_cluster_659|200.6|1.6e-61|1|-|-|-
>VIRSorter_short1-ContigCoA-KX349310_15|9|l
VIRSorter_short1-ContigCoA-KX349310_15-gene_1|3|2465|2462|+|Phage_cluster_473|1089.9|0|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_15-gene_2|2521|2712|191|+|Phage_cluster_715|119.7|1.2e-37|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_15-gene_3|2709|2927|218|+|Phage_cluster_716|128.5|2.3e-40|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_15-gene_4|2917|3156|239|+|Phage_cluster_1100|132.0|1.6e-41|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_15-gene_5|3257|3805|548|+|Phage_cluster_1830|243.6|4.9e-75|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_15-gene_6|4078|4344|266|+|Phage_cluster_2222|118.4|5.3e-37|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_15-gene_7|4495|4653|158|+|gi_326783416_ref_YP_004323638.1_|107|1.39e-33|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_15-gene_8|4634|4837|203|+|Phage_cluster_1610|131.9|2.2e-41|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_15-gene_9|4830|5000|170|+|Phage_cluster_877|57.8|2.8e-18|1|-|-|-
>VIRSorter_short1-ContigCoA-KX349310_4|6|l
VIRSorter_short1-ContigCoA-KX349310_4-gene_1|1|287|286|-|Phage_cluster_600|91.8|1.6e-28|0|-|-|-
VIRSorter_short1-ContigCoA-KX349310_4-gene_2|325|744|419|+|Phage_cluster_18|221.9|1.3e-68|1|Pfam-B_18949|60.8|5.7e-19
VIRSorter_short1-ContigCoA-KX349310_4-gene_3|746|1510|764|+|Phage_cluster_657|393.4|1.8e-120|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_4-gene_4|1542|2252|710|+|Phage_cluster_193|355.7|4e-109|1|T4_baseplate|201.5|3.7e-62
VIRSorter_short1-ContigCoA-KX349310_4-gene_5|2303|2440|137|+|Phage_cluster_453|86.3|2.7e-27|1|-|-|-
VIRSorter_short1-ContigCoA-KX349310_4-gene_6|2433|5000|2567|+|Phage_cluster_593|773.6|1.5e-234|1|Pfam-B_6475|249.7|3e-76
