VIRSorter_short1-ContigCoA-KX349310_2-gene_5	gi|418488835|ref|YP_007002815.1|	31.646	79	42	3	21	99	120	186	5.36e-04	37.0
VIRSorter_short1-ContigCoA-KX349310_2-gene_7	gi|157310996|ref|YP_001468992.1|	29.412	119	72	5	89	202	11	122	5.59e-04	38.1
VIRSorter_short1-ContigCoA-KX349310_2-gene_8	gi|460042458|ref|YP_007517888.1|	40.000	35	21	0	7	41	9	43	7.15e-06	36.6
VIRSorter_short1-ContigCoA-KX349310_9-gene_5	gi|472343245|ref|YP_007677196.1|	30.303	99	60	5	3	98	9	101	4.19e-04	36.6
VIRSorter_short1-ContigCoA-KX349310_5-gene_2	gi|157310996|ref|YP_001468992.1|	29.412	119	72	5	89	202	11	122	5.59e-04	38.1
VIRSorter_short1-ContigCoA-KX349310_5-gene_3	gi|460042458|ref|YP_007517888.1|	40.000	35	21	0	7	41	9	43	7.15e-06	36.6
VIRSorter_short1-ContigCoA-KX349310_5-gene_4	gi|9633533|ref|NP_050646.1|	46.000	50	20	1	350	399	592	634	8.40e-05	45.1
VIRSorter_short1-ContigCoA-KX349310_5-gene_4	gi|281199687|ref|YP_003335791.1|	46.000	50	20	1	350	399	592	634	8.69e-05	44.7
VIRSorter_short1-ContigCoA-KX349310_12-gene_3	gi|472343245|ref|YP_007677196.1|	30.303	99	60	5	3	98	9	101	6.76e-04	36.6
VIRSorter_short1-ContigCoA-KX349310_10-gene_5	gi|472343245|ref|YP_007677196.1|	30.303	99	60	5	3	98	9	101	6.76e-04	36.6
VIRSorter_short1-ContigCoA-KX349310_18-gene_3	gi|333798261|ref|YP_004508534.1|	50.000	34	17	0	14	47	16	49	5.29e-05	36.2
VIRSorter_short1-ContigCoA-KX349310_18-gene_4	gi|326783416|ref|YP_004323638.1|	98.077	52	1	0	1	52	1	52	1.39e-33	107
VIRSorter_short1-ContigCoA-KX349310_18-gene_4	gi|514050785|ref|YP_008125558.1|	73.077	52	14	0	1	52	1	52	4.31e-24	83.2
VIRSorter_short1-ContigCoA-KX349310_18-gene_4	gi|514051057|ref|YP_008126337.1|	51.515	33	16	0	1	33	9	41	1.91e-06	38.5
VIRSorter_short1-ContigCoA-KX349310_18-gene_5	gi|254729593|ref|YP_003084275.1|	42.857	49	27	1	20	67	1	49	2.80e-05	36.6
VIRSorter_short1-ContigCoA-KX349310_17-gene_2	gi|326782286|ref|YP_004322686.1|	31.481	54	37	0	4	57	7	60	2.22e-07	41.6
VIRSorter_short1-ContigCoA-KX349310_17-gene_6	gi|333798261|ref|YP_004508534.1|	50.000	34	17	0	14	47	16	49	5.29e-05	36.2
VIRSorter_short1-ContigCoA-KX349310_17-gene_7	gi|326783416|ref|YP_004323638.1|	98.077	52	1	0	1	52	1	52	1.39e-33	107
VIRSorter_short1-ContigCoA-KX349310_17-gene_7	gi|514050785|ref|YP_008125558.1|	73.077	52	14	0	1	52	1	52	4.31e-24	83.2
VIRSorter_short1-ContigCoA-KX349310_17-gene_7	gi|514051057|ref|YP_008126337.1|	51.515	33	16	0	1	33	9	41	1.91e-06	38.5
VIRSorter_short1-ContigCoA-KX349310_17-gene_8	gi|254729593|ref|YP_003084275.1|	42.857	49	27	1	20	67	1	49	2.80e-05	36.6
VIRSorter_short1-ContigCoA-KX349310_15-gene_2	gi|326782286|ref|YP_004322686.1|	31.481	54	37	0	4	57	7	60	2.22e-07	41.6
VIRSorter_short1-ContigCoA-KX349310_15-gene_6	gi|333798261|ref|YP_004508534.1|	50.000	34	17	0	14	47	16	49	5.29e-05	36.2
VIRSorter_short1-ContigCoA-KX349310_15-gene_7	gi|326783416|ref|YP_004323638.1|	98.077	52	1	0	1	52	1	52	1.39e-33	107
VIRSorter_short1-ContigCoA-KX349310_15-gene_7	gi|514050785|ref|YP_008125558.1|	73.077	52	14	0	1	52	1	52	4.31e-24	83.2
VIRSorter_short1-ContigCoA-KX349310_15-gene_7	gi|514051057|ref|YP_008126337.1|	51.515	33	16	0	1	33	9	41	1.91e-06	38.5
VIRSorter_short1-ContigCoA-KX349310_15-gene_8	gi|254729593|ref|YP_003084275.1|	42.857	49	27	1	20	67	1	49	2.80e-05	36.6
VIRSorter_short1-ContigCoA-KX349310_4-gene_2	gi|418488835|ref|YP_007002815.1|	31.646	79	42	3	21	99	120	186	5.36e-04	37.0
VIRSorter_short1-ContigCoA-KX349310_4-gene_4	gi|157310996|ref|YP_001468992.1|	29.412	119	72	5	89	202	11	122	5.59e-04	38.1
VIRSorter_short1-ContigCoA-KX349310_4-gene_5	gi|460042458|ref|YP_007517888.1|	40.000	35	21	0	7	41	9	43	7.15e-06	36.6
VIRSorter_short1-ContigCoA-KX349310_4-gene_6	gi|9633533|ref|NP_050646.1|	46.000	50	20	1	350	399	592	634	8.35e-05	44.7
VIRSorter_short1-ContigCoA-KX349310_4-gene_6	gi|281199687|ref|YP_003335791.1|	46.000	50	20	1	350	399	592	634	8.42e-05	44.7
